,Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude
966,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",330,7600000,Cairo,Egypt,buy,119548000.0,Twin House,New Cairo City,30.06310285,31.455447475107487
967,3,3,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",226,4500000,Cairo,Egypt,buy,70785000.0,Apartment,Mokattam,30.033333,31.283333
969,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",244,8350000,Cairo,Egypt,buy,131345500.0,Villa,New Cairo City,30.06310285,31.455447475107487
971,6,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,14000000,Cairo,Egypt,buy,220220000.0,Villa,New Cairo City,30.06310285,31.455447475107487
972,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,5800000,Cairo,Egypt,buy,91234000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
973,6,6,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,200",13500000,Cairo,Egypt,buy,212355000.0,Villa,New Cairo City,29.9921014,31.4046293
974,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",223,2565000,Cairo,Egypt,buy,40347450.0,iVilla,New Cairo City,30.06310285,31.455447475107487
975,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",217,1731000,Cairo,Egypt,buy,27228630.0,Apartment,New Cairo City,30.06310285,31.455447475107487
976,4,4,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo","1,620",16000000,Cairo,Egypt,buy,251680000.0,Villa,New Cairo City,29.9921014,31.4046293
977,4,4,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",287,3080000,Cairo,Egypt,buy,48448400.0,iVilla,New Cairo City,30.06310285,31.455447475107487
