Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude,geometry
3,3,"Al Thawra St., Dokki, Giza",185,2500000, Giza,Egypt,buy,39325000.0,Apartment, Dokki,30.0170039,31.213450800000004,POINT (31.2134508 30.0170039)
1,1,"Baymount, Al Ain Al Sokhna, Suez",52,690000, Suez,Egypt,buy,10853700.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,2,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",174,1800000, Cairo,Egypt,buy,28314000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"IL Monte Galala, Al Ain Al Sokhna, Suez",175,4700000, Suez,Egypt,buy,73931000.0,Twin House, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,2,"Azha, Al Ain Al Sokhna, Suez",100,1233000, Suez,Egypt,buy,19395090.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
2,2,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",130,1950000, Cairo,Egypt,buy,30673500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"Veranda, Sahl Hasheesh, Hurghada, Red Sea",140,1900000, Red Sea,Egypt,buy,29887000.0,Chalet, Hurghada,30.0582499,31.301586100000005,POINT (31.30158610000001 30.0582499)
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3700000, Cairo,Egypt,buy,58201000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",189,3150000, Cairo,Egypt,buy,49549500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Akoya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",168,1976500, Cairo,Egypt,buy,31090345.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",176,1550000, Cairo,Egypt,buy,24381500.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Street 10, Greens, 6th District, Sheikh Zayed City, Giza",235,5000000, Giza,Egypt,buy,78650000.0,Twin House, Sheikh Zayed City,30.1594337,31.760475305305036,POINT (31.76047530530504 30.1594337)
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",225,6750000, Cairo,Egypt,buy,106177500.0,Townhouse, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",140,1985200, Cairo,Egypt,buy,31227196.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
5,5,"Degla Square, Degla, Hay El Maadi, Cairo",300,3500000, Cairo,Egypt,buy,55055000.0,Apartment, Hay El Maadi,29.9925522,31.279391600000004,POINT (31.2793916 29.9925522)
3,3,"Al Ein Bay, Al Ain Al Sokhna, Suez",200,4000000, Suez,Egypt,buy,62920000.0,Twin House, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
5,4,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",603,9500000, Giza,Egypt,buy,149435000.0,Villa, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
6,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",314,7200000, Cairo,Egypt,buy,113256000.0,Twin House, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",142,2600000, Cairo,Egypt,buy,40898000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
