,Location,price_EGP,price_usd,property_type,Beds,Baths,Square Meter,city,sub_div
617,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1850000.0,29156000.0,Penthouse,2,2,166, Cairo, New Cairo City
618,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",4400000.0,69344000.0,Apartment,4,5,274, Cairo, New Cairo City
619,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6550000.0,103228000.0,Twin House,3,4,322, Cairo, New Cairo City
620,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1900000.0,29944000.0,Apartment,3,3,176, Cairo, New Cairo City
621,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",35000000.0,551600000.0,Villa,5,5,110, Cairo, New Cairo City
622,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5300000.0,83528000.0,Twin House,4,4,340, Cairo, New Cairo City
623,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5500000.0,86680000.0,Townhouse,5,4,263, Cairo, New Cairo City
624,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",10550000.0,166268000.0,Villa,5,4,356, Cairo, New Cairo City
625,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",15250000.0,240340000.0,Villa,6,5,630, Cairo, New Cairo City
626,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",1500000.0,23640000.0,Apartment,3,2,180, Cairo, New Cairo City
628,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",8100000.0,127656000.0,Villa,5,5,350, Giza, Sheikh Zayed City
629,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",2550000.0,40188000.0,Apartment,2,2,147, Cairo, New Cairo City
630,"Levana, Uptown Cairo, Mokattam, Cairo",7500000.0,118200000.0,Villa,3,3,380, Cairo, Mokattam
631,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2100000.0,33096000.0,Apartment,2,2,144, Cairo, New Cairo City
632,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2600000.0,40976000.0,iVilla,3,3,224, Cairo, New Cairo City
633,"Degla View, Zahraa El Maadi, Hay El Maadi, Cairo",2500000.0,39400000.0,Apartment,3,3,275, Cairo, Hay El Maadi
634,"O West, 6 October Compounds, 6 October City, Giza",1900000.0,29944000.0,Apartment,2,2,116, Giza, 6 October City
636,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",11800000.0,185968000.0,Villa,7+,7+,444, Cairo, New Cairo City
637,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3600000.0,56736000.0,Apartment,3,3,215, Cairo, New Cairo City
638,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3800000.0,59888000.0,Duplex,3,3,233, Cairo, New Cairo City
639,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",6700000.0,105592000.0,Duplex,4,3,464, Giza, 6 October City
640,"Levana, Uptown Cairo, Mokattam, Cairo",19500000.0,307320000.0,Villa,5,5,810, Cairo, Mokattam
641,"Zavani, New Capital Compounds, New Capital City, Cairo",1600000.0,25216000.0,Apartment,3,2,168, Cairo, New Capital City
642,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",947000.0,14924720.0,Villa,5,4,682, Cairo, New Cairo City
643,"Al Andalous Residence, Sahl Hasheesh, Hurghada, Red Sea",2665000.0,42000400.0,Apartment,2,2,114, Red Sea, Hurghada
644,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9500000.0,149720000.0,Villa,4,5,391, Cairo, New Cairo City
645,"Joubal Lagoon, Al Gouna, Hurghada, Red Sea",6900000.0,108744000.0,Twin House,3,4,154, Red Sea, Hurghada
646,"Ancient Sands Resort, Al Gouna, Hurghada, Red Sea",4500000.0,70920000.0,Apartment,2,2,130, Red Sea, Hurghada
647,"Um Jamar, Al Gouna, Hurghada, Red Sea",14800000.0,233248000.0,Villa,3,3,313, Red Sea, Hurghada
648,"La Terra, South Investors Area, New Cairo City, Cairo",6750000.0,106380000.0,Townhouse,4,4,260, Cairo, New Cairo City
649,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3800000.0,59888000.0,Duplex,3,4,302, Cairo, New Cairo City
