,Location,price_EGP,price_usd,property_type,Beds,Baths,Square Meter,city,sub_div
466,"IL Monte Galala, Al Ain Al Sokhna, Suez",200000.0,3152000.0,Chalet,2,2,120, Suez, Al Ain Al Sokhna
467,"Mountain view Sokhna, Mountain view, Al Ain Al Sokhna, Suez",1550000.0,24428000.0,Chalet,3,2,120, Suez, Al Ain Al Sokhna
468,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2450000.0,38612000.0,Apartment,3,3,194, Cairo, New Cairo City
469,"Telal Al Sokhna, Al Ain Al Sokhna, Suez",2550000.0,40188000.0,Twin House,3,3,140, Suez, Al Ain Al Sokhna
470,"Al Jazeera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",8600000.0,135536000.0,Villa,4,4,380, Cairo, New Cairo City
471,"Swan Lake, Al Gouna, Hurghada, Red Sea",3000000.0,47280000.0,Chalet,3,2,133, Red Sea, Hurghada
472,"Tag Al Din El Sobky St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",3200000.0,50432000.0,Apartment,3,3,340, Cairo, Heliopolis - Masr El Gedida
473,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3200000.0,50432000.0,Apartment,3,3,215, Cairo, New Cairo City
474,"Sarayat Al Maadi, Hay El Maadi, Cairo",3500000.0,55160000.0,Apartment,3,2,220, Cairo, Hay El Maadi
475,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9700000.0,152872000.0,Villa,4,4,480, Cairo, New Cairo City
476,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",3650000.0,57524000.0,Apartment,3,3,183, Giza, 6 October City
477,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7000000.0,110320000.0,Twin House,3,4,320, Cairo, New Cairo City
478,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",11800000.0,185968000.0,Villa,5,6,500, Cairo, New Cairo City
480,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",10000000.0,157600000.0,Villa,6,6,360, Cairo, New Cairo City
481,"Caribbean, Markaz Al Hamam, North Coast",628320.0,9902323.2,Chalet,2,1,84, North Coast, Markaz Al Hamam
482,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5150000.0,81164000.0,Townhouse,3,3,278, Cairo, New Cairo City
483,"Palm Hills   Palm Valley, 26th of July Corridor, 6 October City, Giza",5000000.0,78800000.0,Townhouse,4,4,244, Giza, 6 October City
484,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5600000.0,88256000.0,Townhouse,3,3,263, Cairo, New Cairo City
