Baths,Beds,Location,Square Meter,base_price,city,country,page,property_type,sub_div
2,3,"Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",200,23000, Cairo,egypt,rent,Apartment, New Cairo City
4,3,"Palm Hills October, Cairo Alexandria Desert Road, 6 October City, Giza",300,40000, Giza,egypt,rent,Townhouse, 6 October City
1,,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",109,48160, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Street 262, New Maadi, Hay El Maadi, Cairo","1,400",290000, Cairo,Egypt,comm,Whole Building, Hay El Maadi
6,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",116,52000, Cairo,Egypt,comm,Office Space, New Cairo City
2,,"Al Laselky St., El Laselky, New Maadi, Hay El Maadi, Cairo",600,40000, Cairo,Egypt,comm,Office Space, Hay El Maadi
1,,"Downtown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",255,125000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Street 276, New Maadi, Hay El Maadi, Cairo",230,8500, Cairo,Egypt,comm,Office Space, Hay El Maadi
3,,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo",230,110000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",250,148000, Cairo,Egypt,comm,Office Space, New Cairo City
3,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",78,37000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Sarayat Al Maadi, Hay El Maadi, Cairo",315,50000, Cairo,Egypt,comm,Half Floor, Hay El Maadi
3,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",77,40000, Cairo,Egypt,comm,Office Space, New Cairo City
5,,"Street 206, Degla, Hay El Maadi, Cairo",300,15000, Cairo,Egypt,comm,Office Space, Hay El Maadi
7+,,"Al Bostan St., 9th District, Sheikh Zayed City, Giza",130,52000, Giza,Egypt,comm,Office Space, Sheikh Zayed City
4,,"Gameat Al Dewal Al Arabeya St., Mohandessin, Giza",800,96840, Giza,Egypt,comm,Office Space, Mohandessin
1,,"The Water Way, North Investors Area, New Cairo City, Cairo",255,195000, Cairo,Egypt,comm,Office Space, New Cairo City
2,,"Khalf Masaken Al Sheraton St., El Mandara, Hay Than El Montazah, Alexandria","1,350",350000, Alexandria,Egypt,comm,Whole Building, Hay Than El Montazah
